7376
722	0	1020
3690	00	277
939	000	373
6227	001	22
4743	007	37
4603	01	238
4491	0120	24
4715	02	148
4811	03	255
4897	04	187
5047	05	184
4692	050	28
4842	06	200
4882	07	142
826	08	120
4869	09	154
0	10	2016
480	100	683
1	1000	254
6269	10000	23
6018	101	49
6019	102	43
6103	1024	23
5787	103	35
6211	104	27
5090	105	26
6709	106	30
3232	107	44
6225	108	22
6104	1080	51
2802	11	1235
6303	110	110
5608	112	20
6053	115	22
6493	118	33
6212	119	32
723	12	1125
3747	120	90
3935	1200	38
5413	125	31
5872	128	38
5921	1280	76
3205	13	583
3748	130	89
4189	1300	21
6461	135	32
6459	139	24
1372	14	586
3110	140	52
724	15	741
2880	150	152
5650	1500	47
1784	16	718
3187	160	62
4671	1600	32
6850	1677	67
1973	17	530
5423	170	35
5628	1700	20
1199	18	635
3308	180	87
4423	1800	91
2343	19	474
3390	190	29
6330	1900	46
6105	1920	26
3781	1980	31
4683	1986	24
3782	1990	36
2084	1995	25
3282	1999	26
206	20	1192
1449	200	297
649	2000	127
5319	2001	28
4981	2002	49
4181	2003	43
3651	2004	59
4220	2005	60
3991	2006	104
1877	2007	94
1878	2008	139
3912	2009	263
827	2010	533
399	2011	824
5009	2012	1562
5315	2013	52
6217	2015	58
1496	21	549
6233	210	37
6270	2100	38
6321	2106	106
2085	22	492
6267	220	22
940	23	539
3992	230	31
881	24	605
3783	240	58
1412	25	679
4325	250	89
4034	2500	32
1744	26	426
6256	260	30
481	27	476
6110	270	34
207	28	555
3391	280	34
572	29	505
6240	290	20
2	30	1309
1879	300	242
1880	3000	69
6046	301	20
6320	303	48
208	31	464
6143	310	26
4578	315	31
209	32	402
5091	320	140
5734	321	84
3	33	235
1881	330	22
110	34	256
6416	340	27
4	35	344
3092	350	65
111	36	240
5527	360	64
4956	365	33
882	37	172
112	38	162
725	39	129
6587	390	25
290	4	2890
482	40	429
3784	400	169
4306	4000	38
1974	41	66
2052	42	114
4917	420	25
726	43	50
6353	430	28
1200	44	65
6495	440	21
1942	45	120
4634	450	47
1699	46	76
2311	47	51
4085	470	24
1975	48	280
5934	480	95
1943	49	35
113	5	2519
291	50	477
1700	500	368
2709	5000	77
4832	51	49
1450	52	56
5701	520	58
6311	525	20
1344	53	44
1678	54	54
6020	540	32
2959	55	88
6252	550	26
650	56	43
2377	57	47
2312	58	53
727	59	95
400	6	1742
292	60	256
4252	600	131
401	6000	35
3196	61	43
2053	62	52
3948	63	52
3392	64	120
6471	640	22
2949	65	79
3936	650	27
5614	66	43
728	67	37
5173	68	46
4585	680	32
4113	69	56
573	7	1759
1451	70	153
4870	700	186
6213	7000	25
3852	71	31
5279	72	25
4102	720	85
729	73	29
1944	74	32
1101	75	122
4096	750	43
3550	76	39
6667	760	24
6091	768	30
3949	77	50
1882	78	34
4827	780	22
1701	79	29
574	8	1758
1702	80	182
4114	800	235
3785	8000	31
5989	802	94
3853	81	22
3334	810	21
4066	82	31
6427	8255	25
730	83	27
2591	84	73
6015	85	62
5468	850	43
3335	86	30
731	87	21
732	88	29
5137	880	21
5858	888	42
6518	890	24
6844	8960	58
733	9	1401
3111	90	140
4282	900	113
734	92	32
6228	920	21
735	93	28
2950	95	50
3336	96	29
6021	960	42
4193	97	25
5200	98	24
4097	980	114
736	99	79
4098	990	28
651	A	484
5932	ABC	30
5821	AC	95
